employment_cap,objective,annual_gdp,employment,construction_cost,gdp_per_capita,gdp_per_construction,era_cap,arable_land_consumption,level_building_coal_mine,level_building_iron_mine,level_building_lead_mine,level_building_sulfur_mine,level_building_gold_mine,level_building_logging_camp,level_building_rubber_plantation,level_building_fishing_wharf,level_building_whaling_station,level_building_oil_rig,error
45000000,gdp,632002235.3275031,45000000.0,2191992.2533861706,14.044494118388958,288.32320659490995,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
46000000,gdp,639210252.4389771,46000000.0,2211846.0873343507,13.895875053021241,288.99400193316967,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
47000000,gdp,646418269.5504512,47000000.0,2231699.9212825308,13.75358020320109,289.6528621011746,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
48000000,gdp,653260925.3426906,47999999.99999999,2269975.3231004113,13.609602611306055,287.78327178043685,5,845.0000000000001,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
49000000,gdp,659775503.6107782,49000000.0,2324792.438721897,13.464806196138332,283.7997459994766,5,845.0000000000002,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
50000000,gdp,666290081.878866,50000000.0,2379609.554343382,13.32580163757732,279.99975065771616,5,845.0000000000001,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
51000000,gdp,672804660.1469536,51000000.0,2434426.6699648686,13.19224823817556,276.37088783481937,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
52000000,gdp,679319238.4150412,52000000.0,2489243.7855863525,13.063831507981561,272.9018516983159,5,845.0000000000001,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
53000000,gdp,685833816.6831288,53000000.00000001,2544060.901207839,12.940260692134505,269.58231084700714,5,845.0000000000002,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
54000000,gdp,692348394.9512165,54000000.00000001,2598878.0168293244,12.821266573170673,266.4028055444839,5,845.0000000000002,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
55000000,gdp,698862973.2193041,55000000.00000001,2653695.1324508097,12.706599513078254,263.35465768966156,5,845.0000000000001,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
56000000,gdp,705377551.4873916,56000000.0,2708512.2480722954,12.596027705131993,260.42989171986335,5,845.0000000000001,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
57000000,gdp,711892129.7554793,57000000.0,2763329.3636937807,12.489335609745252,257.6211649283396,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
58000000,gdp,718406708.0235668,58000000.0,2818146.479315266,12.386322552130462,254.92170591434993,5,845.0000000000002,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
59000000,gdp,724591289.510388,59000000.0,2818544.806374401,12.281208296786238,257.0799257374435,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
60000000,gdp,730649408.8274723,59999999.99999999,2798088.6328240563,12.17749014712454,261.1244691309303,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
61000000,gdp,736707528.1445568,61000000.0,2777632.4592737122,12.077172592533717,265.2285854757001,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
62000000,gdp,742765647.4616412,61999999.99999999,2757176.2857233672,11.980091088090989,269.3936007311809,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
63000000,gdp,748823766.7787255,63000000.0,2736720.1121730227,11.886091536170246,273.6208805014193,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
64000000,gdp,754819250.852109,64000000.000000015,2715467.3034740025,11.7940507945642,277.97029626776924,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
65000000,gdp,760658930.3237239,65000000.0,2712097.474017744,11.702445081903445,280.4688760676702,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
66000000,gdp,766390134.3794906,65999999.99999999,2729841.4537389097,11.611971733022587,280.745291390388,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
67000000,gdp,772121338.4352577,66999999.999999985,2747585.4334600754,11.524199081123252,281.01813651811136,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
68000000,gdp,777852542.4910243,68000000.0,2765329.413181242,11.43900797780918,281.2874801762517,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
69000000,gdp,783583746.5467911,69000000.0,2783073.392902408,11.356286181837552,281.55338933753677,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
70000000,gdp,789314950.6025579,69999999.99999999,2800817.372623574,11.27592786575083,281.81592927752837,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
71000000,gdp,795046154.6583246,70999999.99999999,2818561.3523447397,11.197833164201757,282.07516362804444,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
72000000,gdp,800777358.7140913,72000000.0,2836305.3320659054,11.121907759917935,282.33115442857553,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
73000000,gdp,806508562.7698584,72999999.99999999,2854049.311787072,11.048062503696691,282.5839621757833,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
74000000,gdp,812239766.825625,73999999.99999999,2871793.291508238,10.97621306521115,282.83364587116387,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
75000000,gdp,817970970.8813918,74999999.99999999,2889537.271229404,10.906279611751893,283.08026306695524,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
76000000,gdp,823702174.9371585,76000000.0,2907281.25095057,10.838186512331033,283.3238699103636,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
77000000,gdp,829433378.9929253,77000000.0,2925025.2306717364,10.771862064843186,283.56452118617955,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
78000000,gdp,835164583.0486921,78000000.0,2942769.2103929017,10.707238244214002,283.8022703578531,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
79000000,gdp,840895787.1044589,79000000.0,2960513.190114068,10.644250469676695,284.0371696070908,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
80000000,gdp,846586656.9588289,79999999.99999997,2976448.7951808805,10.582333211985366,284.4284297211911,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
81000000,gdp,851945255.2716129,80999999.99999999,2977487.0820076168,10.517842657674235,286.1289509599402,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
82000000,gdp,857303853.5843968,81999999.99999997,2978525.3688343526,10.45492504371216,287.82828662624524,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
83000000,gdp,862662451.8971808,82999999.99999997,2979563.6556610884,10.393523516833508,289.5264379595133,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
84000000,gdp,868021050.2099648,83999999.99999999,2980601.9424878242,10.333583931071011,291.2234061974247,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
85000000,gdp,873379648.5227485,84999999.99999997,2981640.22931456,10.275054688502927,292.9191925759356,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
86000000,gdp,878738246.8355324,85999999.99999997,2982678.5161412964,10.217886591110846,294.6137983292815,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
87000000,gdp,884096845.1483161,86999999.99999997,2983716.8029680317,10.162032702854212,296.3072246899796,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
88000000,gdp,889455443.4611001,87999999.99999996,2984755.089794768,10.10744822114887,297.99947288883226,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
89000000,gdp,894814041.773884,88999999.99999997,2985793.3766215034,10.054090357009937,299.69054415492997,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
90000000,gdp,900172640.086668,89999999.99999994,2986831.6634482397,10.001918223185207,301.3804397156538,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
91000000,gdp,905531238.3994519,90999999.99999996,2987869.9502749755,9.95089272966431,303.069160796679,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
92000000,gdp,910889836.7122358,92000000.00000001,2988908.2371017113,9.90097648600256,304.75670862197785,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
93000000,gdp,916248435.0250198,92999999.99999999,2989946.523928447,9.85213370994645,306.4430844138223,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
94000000,gdp,921607033.337804,94000000.00000003,2990984.810755183,9.804330141891528,308.1282893927872,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
95000000,gdp,926965631.6505878,95000000.00000003,2992023.0975819193,9.757532964743026,309.8123247777529,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
96000000,gdp,932324229.9633716,96000000.00000003,2993061.3844086546,9.711710728785118,311.49519178590884,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
97000000,gdp,937682828.2761556,97000000.00000001,2994099.671235391,9.666833281197478,313.1768916327557,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
98000000,gdp,943041426.5889394,98000000.0,2995137.9580621268,9.622871699887137,314.8574255321091,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
99000000,gdp,948400024.9017234,98999999.99999999,2996176.2448888626,9.57979823133054,316.5367946961019,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
100000000,gdp,953758623.2145072,100000000.0,2997214.5317155984,9.537586232145072,318.21500033518726,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
